,ticker,thong tin
897,ABS,"Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận (ABS) có tiền thân là Công ty Vật tư Nông nghiệp Thuận Hải được thành lập vào năm 1975. Công ty hoạt động chính trong lĩnh vực kinh doanh phân phối vật tư nông nghiệp, phân bón và xăng dầu. ABS chính thức hoạt động theo mô hình công ty cổ phần từ năm năm 2004. Công ty là nhà phân phối độc quyền các sản phẩm phân bón của Tập đoàn Năm Sao. ABS hiện sở hữu hệ thống 5 cửa hàng xăng dầu, bao gồm: Cửa hàng Xăng dầu số 9, Cửa hàng Xăng dầu Ngã Ba Gộp, Cửa hàng Xăng dầu Km 29, Cửa hàng Xăng dầu Thuận Hòa và Cửa hàng Xăng dầu Thắng Hải. Ngoài ra, Công ty còn tham gia kinh doanh cho thuê kho tàng, bến bãi và hợp tác góp vốn đầu tư kinh doanh bất động sản. Ngày 18/03/2020, ABS chính thức giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE). "
585,ABT," Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre (ABT) tiền thân là Xí Nghiệp Đông Lạnh thành lập năm 1977. Năm 2004 chuyển sang hoạt động theo mô hình cổ phẩn. Cổ phiếu của công ty niêm yết tại HOSE vào năm 2006. Hoạt động chính của Công ty là chế biến và xuất nhập khẩu các loại thủy sản mang thương hiệu AQUATEX BENTRE. Trong đó 2 loại sản phẩm chính là nghêu và cá tra chiếm trên 90% doanh thu. Công ty có diện tích vùng nuôi lên tới 60 ha. Công ty hiện có vùng nuôi cá tra đạt cấp chứng nhận GlobalGAP lớn nhất Châu Á với diện tích 43,5 ha cung cấp 15.000 tấn cá tra thịt/năm và là doanh nghiệp thứ 2 của Việt Nam và Thế giới được cấp chứng nhận GlobalGAP cho cá tra Pangasius. Sản phẩm của công ty đã được xuất khẩu đến 35 nước, lãnh thổ trên thế giới với mức chất lượng được tất cả các khách hàng và thị trường chấp nhận. Sản phẩm của công ty có mặt tại Châu Âu, Nhật, Mỹ, Thụy Điển, Hy Lạp, Mexico, Libăng, Israel, Dominica và Ả rập...Ngày 25/12/2006, ABT chính thức giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE)  "
55,ABW,"Công ty Cổ phần Chứng khoán An Bình (ABW) chính thức hoạt động từ ngày 5/11/2006 với vốn điều lệ ban đầu 50 tỷ đồng. Các cổ đông chiến lược của ABS bao gồm: Tập đoàn Điện lực Việt Nam (EVN), Ngân hàng Thương mại Cổ phần An Bình (ABBank) và Công ty Xuất nhập khẩu Tổng hợp Hà Nội (Geleximco). Tính đến cuối năm 2022, hệ thống mạng lưới ABBANK đạt 165 điểm giao dịch (35 chi nhánh và 130 phòng giao dịch) trên 34 tỉnh/thành trọng điểm trong cả nước, và được phân bổ theo 8 khu vực địa lý. "
8,ACB," Ngân hàng Thương mại Cổ phần Á Châu (ACB) được thành lập năm 1993. Ngân hàng hoạt động trong lĩnh vực huy động, kinh doanh vốn và cung cấp các dịch vụ tài chính liên quan. Trong năm 2022, Biên lãi thuần (NIM) của ACB bằng 4,31%, tăng 0,22% so với cùng kỳ. Tỷ lệ nợ xấu bằng 0.74% thuộc hàng thấp nhất trong ngành ngân hàng. Tỷ lệ bao phủ nợ xấu đạt 159,27%, cho thấy Ngân hàng rất thận trọng trong việc trích lập dự phòng rủi ro cho vay. Lợi nhuận sau thuế ở mức 13.688,2 tỷ đồng, tăng 42,54% so với cùng kỳ. Tỷ suất lợi nhuận trên vốn chủ sở hữu (ROE) là 26,49%. Ngày 09/12/2020, ACB chính thức giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE).  "
1024,ACC,"Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC (ACC) có tiền thân là Xí nghiệp bê tông cốt thép và bê tông nhựa nóng trực thuộc Công ty Đầu tư và Phát triển Công nghiệp Becamex IDC được thành lập năm 2003. Hoạt động chính là sản xuất kinh doanh bê tông cốt thép, bê tông nhựa nóng, bê tông xi măng. Sản phẩm của công ty hầu hết đều được Công ty Đầu tư và Phát triển công nghiệp bao tiêu đầu ra. Vốn điều lệ hiện nay của công ty là 100 tỷ đồng. Năm 2009 công ty nhận chứng chỉ ISO 9001:2008 do Trung Tâm Chứng Nhận Phù Hợp Quacert và niêm yết cổ phiếu ACC lần đầu tiên trên sàn giao dịch Upcom và năm 2011 cổ phiếu ACC giao dịch chính thức trên HOSE. "
1025,ACE,"Công ty Cổ phần Bê Tông Ly Tâm An Giang (ACE) tiền thân là Xí nghiệp Bê Tông Ly Tâm An Giang trực thuộc Công ty Xây lắp Điện 2 được thành lập năm 1982. Năm 2000 Xí nghiệp Bê Tông Ly Tâm An Giang trở thành đơn vị thành viên trực thuộc Tổng Công ty Xây dựng Công nghiệp Việt Nam. Năm 2003 Xí nghiệp Bê Tông Ly Tâm An Giang được chuyển thành công ty cổ phần. Là đơn vị hoạt động lâu năm trong ngành sản xuất sản phẩm bê tông công nghiệp và thực hiện xây lắp đường dây, cùng với việc ứng dụng dây chuyền sản xuất hiện đại của Nhật Bản vào trong sản xuất nên Công ty Cổ phần Bê Tông Ly Tâm An Giang là một trong những đơn vị có ưu thế lớn trong ngành. Sản phẩm Công ty không ngừng cải tiến, đa dạng hoá từ đó sản phẩm sản xuất được tiêu thụ khắp các tỉnh miền Nam đến các tỉnh miền Trung và xuất khẩu sang nước bạn Campuchia và đây cũng là thị trường tiềm năng trong tương lai của Công ty. Ngày 10/11/2009, cổ phiếu của công ty đã được giao dịch trên thị trường UpCoM. "
386,ACG,"Công ty Cổ phần Gỗ An Cường (ACG), tiền thân là Công ty TNHH Thương mại An Cường, được thành lập năm 1994. ACG là nhà sản xuất cung cấp nguyên vật liệu trang trí nội thất và vật liệu décor tại Việt Nam và xuất khẩu nội thất tại Nhật Bản, Đông Nam Á, Mỹ và châu Âu. Các dòng vật liệu từ gỗ công nghiệp của ACG như ván MFC, Melamine MDF, Laminate, Acrylic, Veneer, cửa gỗ công nghiệp và các phụ phẩm được ứng dụng trong thiết kế và trang trí nội thất cho nhà ở, chung cư, trường học, bệnh viện, siêu thị, nội thất văn phòng, trần, vách toilet, cửa đi, ván sàn ... Hiện nay, ACG có 23 showroom trên toàn quốc cùng với hệ thống đại diện nước ngoài tại Cambodia, Malaysia, Nhật Bản, Canada, Mỹ, Úc. ACG hiện nắm giữ hơn 55% thị phần vật liệu trang trí nội thất và vật liệu décor thuộc phân khúc tầm trung và cao cấp tại Việt Nam (Theo Báo cáo thường niên 2020 của ACG).  "
586,ACL," Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang (ACL) được thành lập năm 2003. Năm 2007, công ty chuyển đổi sang hoạt động theo mô hình cổ phần. Hoạt động chính của công ty là chế biến và xuất khẩu thủy sản. Sản phẩm chính của ACL là cá tra chế biến bao gồm cá tra phi lê trắng và cá tra IQF hồng. Nhà máy của ACL có công suất chế biến khoảng 250 tấn cá nguyên liệu / ngày, tương đương khoảng 25.000 tấn cá thành phẩm / năm. Sản phẩm của ACL được xuất khẩu sang hơn 40 quốc gia khác trên thế giới như Singapore, Malaysia, Indonesia, Philippines, Nhật Bản, EU (Ba Lan, Pháp), Ageria, Mỹ, Úc và Các Tiểu vương quốc Ả Rập Thống nhất. Hiện công ty là một trong những nhà cung cấp sản phẩm cá tra cho hệ thống siêu thị Walmart toàn cầu. ACL có hơn 25 năm kinh nghiệm trong lĩnh vực nông nghiệp. ACL có trang trại nổi tiếng và hàng đầu trong lĩnh vực nuôi cá tra tại Việt Nam, với diện tích nuôi hơn 100 ha, sản lượng khoảng 35.000 tấn nguyên liệu / năm cung cấp cho hoạt động sản xuất kinh doanh của nhà máy. Ngày 05/09/2007, ACL chính thức giao dịch tại Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE).  "
451,ACM,"Công ty Cổ phần Tập đoàn Khoáng Sản Á Cường (ACM) tiền thân là Công ty TNHH Tam Cường, được thành lập năm 1966. Lĩnh vực kinh doanh chính của Công ty là (i) khai thác và thu gom than cứng, than non; (ii) khai thác quặng kim loại; (iii) sản xuất than cốc, xi măng, vôi và thạch cao. Hiện nay Công ty được cấp phép khai thác 8 mỏ tại tỉnh Bắc Giang trong đó có 7 mỏ đồng, bạc và 1 mỏ than. Ngày 19/07/2022, ACM chính thức giao dịch trên thị trường UPCOM.   "
1026,ACS,"Công ty Cổ phần Xây lắp Thương mại 2 (ACS) có tiền thân là Công ty Xây lắp Miền Nam, được thành lập vào năm 1976. Công ty hoạt động chính trong lĩnh vực thi công xây dựng các công trình dân dụng, công nghiệp, và dịch vụ tư vấn thiết kế xây dựng. Vế hoạt động tư vấn thiết kế, Công ty cung cấp dịch vụ thiết kế bằng công cụ BIM, khảo sát, quản lý xây dựng, lập bản vẽ chi tiết thi công, tính toán khối lượng và các loại thủ tục khác. Công ty đã tham gia thi công nhiều công trình như công trình cải tạo UBND thành phố Hồ Chí Minh, Trung tâm Thương mại Bình Điền, Cục Sáng Chế và Trung tâm thương mại Pleiku. ACS được giao dịch trên thị trường UPCOM từ tháng 07/2017. "
1370,ACV," Tổng Công ty Cảng Hàng không Việt Nam (ACV) được thành lập vào năm 2012 trên cơ sở hợp nhất Tổng Công ty Cảng Hàng không Miền Bắc, Tổng Công ty Cảng Hàng không miền Trung và Tổng Công ty Cảng Hàng không Miền Nam. Tổng Công ty chính thức hoạt động theo mô hình công ty cổ phần từ năm 2016. ACV là đơn vị duy nhất quản lý, vận hành và khai thác toàn bộ hệ thống 22 Cảng hàng không quốc tế và quốc nội trên toàn lãnh thổ Việt Nam. Giai đoạn trước cổ phần hóa, mỗi năm công ty phục vụ trên 1,006 triệu lượt chuyến bay, 132,61 triệu lượt khách và vận chuyển 2,3 triệu tấn hàng hóa, tăng trung bình 16%/năm.Giai đoạn sau cổ phần, ACV có kế hoạch đầu tư xây dựng cơ sở hạ tầng tại cảng hàng không Quốc tế Cam Ranh, Cảng hàng không Quốc tê Tân Sơn Nhất, đầu tư nhà ga hành khách quốc tế tại cảng hàng không quốc tế Đà Nẵng, và nhà ga hàng hóa cảng hàng không Cát Bi và Cảng hàng không quốc tế Long Thành đạt cấp 4F, công suất 100 triệu hàng khách/năm, 5 triệu tấn hàng hóa/năm.  "
804,ADC," Công ty Cổ phần Mĩ thuật và Truyền thông (ADC), được thành lập vào năm 2007. Công ty hoạt động trong lĩnh vưc thiết kế, chế bản sách, phát hành sách và bán lẻ sách và thiết bị giáo dục. Hiện nay Công ty đang sở hữu một dàn máy chế bản hiện đại và đảm trách hầu hết các công việc chế bản của BGDVN để cung cấp cho gần 100 nhà in có in SGK trong nước. Công ty là đơn vị đầu tiên và duy nhất của NXBGD hoạt động trong lĩnh vực in tem chống giả và là Công ty lớn thứ 2 trong cả nước về sản xuất sản phẩm này. ADC là công ty con của NXBGDVN nên Công ty được NXBGDVN tạo mọi điều kiện và hỗ trợ khuyến khích hoạt động kinh doanh của Công ty. Hàng năm Công ty dành được một số lượng lớn các hợp đồng trong lĩnh vực thiết kế, chế bản và sản xuất tem chống giả từ NXBGDVN từ đó tạo nên tính ổn định cho các mảng công việc này. Ngày 24/12/2010, ADC chính thức giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX).  "
809,ADG,"Công ty Cổ phần Clever Group (ADG) có tiền thân là Công ty Cổ phần Quảng Cáo Thông minh được thành lập vào năm 2008. Công ty hoạt động chính trong lĩnh vực cung cấp dịch vụ quảng cáo trực tuyến. ADG trở thành công ty đại chúng từ tháng 06/2019. ADG trở thành đối tác chính thức của Google vào năm 2010 và trở thành đối tác cao cấp chính thức của Google từ năm 2011, chuyên cung cấp dịch vụ quảng cáo trực tuyến Google AdWords. ADG đứng vị trí số 1 về thị phần Google AdWords tại Việt Nam khi chiếm tới 15% thị phần. Từ năm 2013, ADG trở thành Đại lý ủy quyền đầu tiên của Facebook tại Việt Nam cung cấp dịch vụ quảng cáo Facebook. ADG được niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ tháng 12/2020. "
1027,ADP," Công ty Cổ phần Sơn Á Đông (ADP) được thành lập năm 1970 là một trong hai nhà sản xuất lớn nhất và chi phối thị trường miền Nam trước năm 1975. Năm 2000 công ty chuyển sang hoạt động theo mô hình công ty cổ phần. Công ty là nhà sản xuất tiên phong sản phẩm sơn tôn cuộn (PCM) tại Việt Nam, chiếm thị phần lớn nhất cả nước. Công ty hiện nắm giữ khoảng 22% thị phần sơn PCM, 8% thị phần sơn tàu biển và công nghiệp độ bền cao và 6% thị phần sơn xây dựng và trang trí gốc dầu. Công ty hiện là nhà cung cấp thường xuyên cho các khách hàng lớn nhất tại Việt Nam như LD Dầu khí Vietsovpetro, Vinashin Corp., Lilama Corp., LD Tôn Phương Nam, T.A VietNam. Sản phẩm của công ty được thực hiện phân phối thông qua các hệ thống phân phối tại Hà Nội, Nha Trang, Phú Thọ, Nam Định, Đà Nẵng, Quảng Nam, Rạch Giá, và Cần Thơ. Ngày 27/07/2023, ADP chính thức giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE).  "
755,ADS,"Công ty Cổ phần Damsan (ADS) có tiền thân là Công ty Cổ phần Dệt sợi Damsan được thành lập vào năm 2006. Công ty hoạt động chính trong lĩnh vực kinh doanh, sản xuất các sản phẩm sợi và khăn bông. ADS trở thành công ty đại chúng từ năm 2011. Công ty là một trong các doanh nghiệp lớn nhất Việt Nam về quy mô sản xuất sợi với số lượng cọc sợi đứng thứ 5 cả nước. Hiện ADS đang quản lý vận hành 03 nhà máy dệt sợi với tổng công suất 16.560 tấn sợi/năm và 2.040 tấn khăn/năm. Bên cạnh đó, Công ty còn tham gia đầu tư phát triển và kinh doanh bất động sản nhà ở và hạ tầng khu công nghiệp với các dự án Tòa Nhà Dam San - Quang Trung tại Phường Quang Trung - Thành phố Thái Bình, Khu đô thị Phú Xuân - Damsan tại Thành phố Thái Bình và Cụm công nghiệp An Ninh tại xã An Ninh, huyện Tiền Hải, tỉnh Thái Bình. ADS được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ tháng 06/2016. "
892,AFX," Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang (AFIEX) có tiền thân là Công ty Xuất nhập khẩu Nông thủy sản An Giang, được thành lập vào ngày 10/02/1990. Công ty hoạt động chính trong lĩnh vực sản xuất, chế biến, kinh doanh lương thực, thủy sản và thức ăn chăn nuôi thủy sản. AFIEX chính thức hoạt động theo mô hình công ty cổ phần từ năm 2011. Công ty hiện chiếm khoảng 0,54% thị phần ngành lương thực Việt Nam, 0,2% thị phần ngành thủy sản và 5% thị phần ngành thức ăn chăn nuôi. AFIEX được giao dịch trên thị trường UPCOM từ tháng 12/2016.  "
745,AG1,"Công ty Cổ phần 28.1 (AG1) có tiền thân là Cơ sở 1 - Xí Nghiệp May X 28, được thành lập vào năm 1991. Công ty hoạt động chủ yếu trong lĩnh vực sản xuất, kinh doanh xuất khẩu các sản phẩm may mặc. AG1 chính thức hoạt động theo hình thức công ty cổ phần từ năm 2016. Công ty hiện đang quản lý vận hành 02 xưởng may với 8 dây chuyền sản xuất có công suất 1,5 triệu bộ veston/năm, 600.000 sản phẩm quần tây/năm và 50.000 - 70.000 sản phầm jile/năm. AG1 được giao dịch trên thị trường UPCOM từ tháng 01/2018. "
1482,AGE,"Công ty Cổ phần Môi trường Đô thị An Giang (AGE) có tiền thân là Công ty Công trình Đô thị Long Xuyên, được thành lập vào năm 1999. Công ty hoạt động chính trong lĩnh vực thu gom rác thải, chăm sóc và duy trì cảnh quan. Hiện tại, công ty đang thực hiện công tác vệ sinh, duy tu, sửa chữa các công trình công cộng với công suất thu gom rác thải hiện tại đạt 567 tấn/ngày. Ngoài ra, Công ty còn có chức năng thực hiện thu gom và xử lý rác nguy hại ở một số điểm thuộc các tỉnh lân cận như Đồng Tháp, Kiên Giang, Cần Thơ.  "
587,AGF," Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang (AGF) được thành lập vào năm 2001. Hoạt động sản xuất chính của công ty là chế biến xuất khẩu cá tra, cá ba sa đông lạnh. Công ty Agifish có vị thế đặc biệt trong ngành thủy sản (sản xuất cá Tra, cá Basa), là đơn vị đầu tiên trong vùng Đồng bằng sông Cửu Long sản xuất, chế biến và xuất khẩu cá Basa, cá Tra fillet. Agifish đã có nhiều khách hàng từ hầu hết các quốc gia trên thế giới như Hoa Kỳ, Châu Âu, Úc, Hong Kong, Singapore, Đài Loan, Nhật Bản... Agifish ngày càng có uy tín cao trên thị trường và một trong những thương hiệu mạnh trên thị trường thế giới. Ngoài ra, Công ty còn chế biến các loại cá nước ngọt phong phú trong khu vực đồng bằng sông Cửu Long và các sản phẩm có giá trị khác như Tôm càng, chả thác lác, cá rô phi, sản phẩm cá tẩm bột, mực....Agifish đã và đang tiêu thụ với hơn 100 sản phẩm chế biến từ cá basa, cá tra với hệ thống phân phối rộng khắp 50 tỉnh thành trong cả nước. Ngày 24/02/2020, AGF chính thức giao dịch trên thị trường UPCOM.  "
102,AGG,"Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia (AGG) được thành lập vào năm 2012. Công ty hoạt động chính trong lĩnh vực đầu tư phát triển và kinh doanh các công trình nhà ở. AGG trở thành công ty đại chúng từ tháng 11/2019. Công ty đã đầu tư phát triển một số dự án nhà ở tiêu biểu tại khu vực thành phố Hồ Chí Minh và Vũng Tàu như: Dự án The Star tại quận Bình Tân, dự án The Garden tại quận Tân Phú , dự án Skyline, Riverside, River City, cụm dự án Lacasa (River Panorama 1, River Panorama 2, Sky 89 và Signial tại quận 7, và The Sóng tại thành phố Vũng Tàu. AGG lần lượt được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ cuối năm 2019 và đầu năm 2020. "
588,AGM,"Công ty Cổ phần Xuất nhập khẩu An Giang (AGM) có tiền thân là Công ty Ngoại thương An Giang được thành lập vào năm 1976. Từ năm 2008, Công ty chuyển sang hoạt động theo mô hình công ty cổ phần. Hoạt động kinh doanh của Công ty tập trung ở lĩnh vực lương thực, vật tư nông nghiệp và xe gắn máy Honda Việt Nam. Trong đó kinh doanh lương thực vẫn là lĩnh vực chủ lực, chiếm tỷ trọng doanh thu cao nhất qua các năm. Năng lực sản xuất của Công ty đạt khoảng 250.000 tấn gạo/năm. Sản phẩm gạo của Công ty được xuất khẩu đi các thị trường Châu Á, Châu Phi và Châu Âu. AGM được niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ năm 2012. "
